Started at: 2013-03-20 14:39:45
Started at: 2013-03-20 14:39:56
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.01166489925768823
learnBPRMF|0|0.01|15|0.21208907741251326
learnBPRMF|0|0.1|15|0.16755037115588547
learnBPRMF|0.001|0.001|15|0.008483563096500531
learnBPRMF|0.001|0.01|15|0.22375397667020147
learnBPRMF|0.001|0.1|15|0.19724284199363734
learnBPRMF|0.01|0.001|15|0.0042417815482502655
learnBPRMF|0.01|0.01|15|0.22799575821845175
learnBPRMF|0.01|0.1|15|0.2841993637327678
learnBPRMF|0.1|0.001|15|0.0021208907741251328
learnBPRMF|0.1|0.01|15|0.19618239660657477
learnBPRMF|0.1|0.1|15|0.19088016967126192
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.11134676564156946
learnBPRMF|1|0.1|15|0.04772004241781548
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.009544008483563097
learnBPRMF|0|0.01|15|0.2354188759278897
learnBPRMF|0|0.1|15|0.1537645811240721
learnBPRMF|0.001|0.001|15|0.01166489925768823
learnBPRMF|0.001|0.01|15|0.2301166489925769
learnBPRMF|0.001|0.1|15|0.20360551431601273
learnBPRMF|0.01|0.001|15|0.012725344644750796
learnBPRMF|0.01|0.01|15|0.2417815482502651
learnBPRMF|0.01|0.1|15|0.2767762460233298
learnBPRMF|0.1|0.001|15|0.0021208907741251328
learnBPRMF|0.1|0.01|15|0.1951219512195122
learnBPRMF|0.1|0.1|15|0.20572640509013787
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.1102863202545069
learnBPRMF|1|0.1|15|0.05726405090137858
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.021208907741251327
learnBPRMF|0|0.01|15|0.21739130434782608
learnBPRMF|0|0.1|15|0.17073170731707318
learnBPRMF|0.001|0.001|15|0.007423117709437964
learnBPRMF|0.001|0.01|15|0.21951219512195122
learnBPRMF|0.001|0.1|15|0.19724284199363734
learnBPRMF|0.01|0.001|15|0.01166489925768823
learnBPRMF|0.01|0.01|15|0.2354188759278897
learnBPRMF|0.01|0.1|15|0.26617179215270415
learnBPRMF|0.1|0.001|15|0.003181336161187699
learnBPRMF|0.1|0.01|15|0.20360551431601273
learnBPRMF|0.1|0.1|15|0.18133616118769882
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.09013785790031813
learnBPRMF|1|0.1|15|0.042417815482502653
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.012725344644750796
learnBPRMF|0|0.01|15|0.2142099681866384
learnBPRMF|0|0.1|15|0.15270413573700956
learnBPRMF|0.001|0.001|15|0.012725344644750796
learnBPRMF|0.001|0.01|15|0.2301166489925769
learnBPRMF|0.001|0.1|15|0.20784729586426298
learnBPRMF|0.01|0.001|15|0.008483563096500531
learnBPRMF|0.01|0.01|15|0.20890774125132555
learnBPRMF|0.01|0.1|15|0.27465535524920465
learnBPRMF|0.1|0.001|15|0.0021208907741251328
learnBPRMF|0.1|0.01|15|0.19830328738069988
learnBPRMF|0.1|0.1|15|0.19088016967126192
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.12089077412513255
learnBPRMF|1|0.1|15|0.033934252386002124
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.01166489925768823
learnBPRMF|0|0.01|15|0.21314952279957583
learnBPRMF|0|0.1|15|0.18345705196182396
learnBPRMF|0.001|0.001|15|0.009544008483563097
learnBPRMF|0.001|0.01|15|0.21739130434782608
learnBPRMF|0.001|0.1|15|0.1951219512195122
learnBPRMF|0.01|0.001|15|0.009544008483563097
learnBPRMF|0.01|0.01|15|0.22269353128313893
learnBPRMF|0.01|0.1|15|0.2682926829268293
learnBPRMF|0.1|0.001|15|0.0021208907741251328
learnBPRMF|0.1|0.01|15|0.20784729586426298
learnBPRMF|0.1|0.1|15|0.18027571580063625
learnBPRMF|1|0.001|15|0.003181336161187699
learnBPRMF|1|0.01|15|0.11770943796394485
learnBPRMF|1|0.1|15|0.041357370095440084
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.01166489925768823
learnBPRMF|0|0.01|15|0.22481442205726404
learnBPRMF|0|0.1|15|0.17815482502651114
learnBPRMF|0.001|0.001|15|0.012725344644750796
learnBPRMF|0.001|0.01|15|0.2067868504772004
learnBPRMF|0.001|0.1|15|0.19406150583244963
learnBPRMF|0.01|0.001|15|0.007423117709437964
learnBPRMF|0.01|0.01|15|0.21739130434782608
learnBPRMF|0.01|0.1|15|0.264050901378579
learnBPRMF|0.1|0.001|15|0.0042417815482502655
learnBPRMF|0.1|0.01|15|0.20360551431601273
learnBPRMF|0.1|0.1|15|0.17179215270413573
learnBPRMF|1|0.001|15|0.0010604453870625664
learnBPRMF|1|0.01|15|0.10922587486744433
learnBPRMF|1|0.1|15|0.051961823966065745
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.010604453870625663
learnBPRMF|0|0.01|15|0.23117709437963946
learnBPRMF|0|0.1|15|0.1823966065747614
learnBPRMF|0.001|0.001|15|0.01166489925768823
learnBPRMF|0.001|0.01|15|0.2205726405090138
learnBPRMF|0.001|0.1|15|0.20042417815482502
learnBPRMF|0.01|0.001|15|0.008483563096500531
learnBPRMF|0.01|0.01|15|0.22481442205726404
learnBPRMF|0.01|0.1|15|0.2735949098621421
learnBPRMF|0.1|0.001|15|0.003181336161187699
learnBPRMF|0.1|0.01|15|0.20360551431601273
learnBPRMF|0.1|0.1|15|0.1951219512195122
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.12195121951219512
learnBPRMF|1|0.1|15|0.04772004241781548
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.009544008483563097
learnBPRMF|0|0.01|15|0.20784729586426298
learnBPRMF|0|0.1|15|0.15588547189819724
learnBPRMF|0.001|0.001|15|0.003181336161187699
learnBPRMF|0.001|0.01|15|0.21845174973488865
learnBPRMF|0.001|0.1|15|0.2014846235418876
learnBPRMF|0.01|0.001|15|0.019088016967126194
learnBPRMF|0.01|0.01|15|0.2258748674443266
learnBPRMF|0.01|0.1|15|0.2767762460233298
learnBPRMF|0.1|0.001|15|0.0
learnBPRMF|0.1|0.01|15|0.20360551431601273
learnBPRMF|0.1|0.1|15|0.19936373276776245
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.11664899257688228
learnBPRMF|1|0.1|15|0.05832449628844114
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.013785790031813362
learnBPRMF|0|0.01|15|0.21951219512195122
learnBPRMF|0|0.1|15|0.16118769883351008
learnBPRMF|0.001|0.001|15|0.019088016967126194
learnBPRMF|0.001|0.01|15|0.22269353128313893
learnBPRMF|0.001|0.1|15|0.2142099681866384
learnBPRMF|0.01|0.001|15|0.006362672322375398
learnBPRMF|0.01|0.01|15|0.2258748674443266
learnBPRMF|0.01|0.1|15|0.28950159066808057
learnBPRMF|0.1|0.001|15|0.003181336161187699
learnBPRMF|0.1|0.01|15|0.2014846235418876
learnBPRMF|0.1|0.1|15|0.18769883351007424
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.1071049840933192
learnBPRMF|1|0.1|15|0.04772004241781548
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnBPRMF|0|0.001|15|0.010604453870625663
learnBPRMF|0|0.01|15|0.21845174973488865
learnBPRMF|0|0.1|15|0.17179215270413573
learnBPRMF|0.001|0.001|15|0.010604453870625663
learnBPRMF|0.001|0.01|15|0.21739130434782608
learnBPRMF|0.001|0.1|15|0.1951219512195122
learnBPRMF|0.01|0.001|15|0.010604453870625663
learnBPRMF|0.01|0.01|15|0.21951219512195122
learnBPRMF|0.01|0.1|15|0.25556733828207845
learnBPRMF|0.1|0.001|15|0.0042417815482502655
learnBPRMF|0.1|0.01|15|0.19300106044538706
learnBPRMF|0.1|0.1|15|0.17391304347826086
learnBPRMF|1|0.001|15|0.0
learnBPRMF|1|0.01|15|0.12725344644750794
learnBPRMF|1|0.1|15|0.053022269353128315
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.1261930010604454
learnRankMFX|0|0.01|15|0.21951219512195122
learnRankMFX|0|0.1|15|0.13043478260869565
learnRankMFX|0.001|0.001|15|0.12513255567338283
learnRankMFX|0.001|0.01|15|0.2163308589607635
learnRankMFX|0.001|0.1|15|0.1357370095440085
learnRankMFX|0.01|0.001|15|0.12301166489925769
learnRankMFX|0.01|0.01|15|0.24708377518557795
learnRankMFX|0.01|0.1|15|0.18769883351007424
learnRankMFX|0.1|0.001|15|0.11346765641569459
learnRankMFX|0.1|0.01|15|0.23966065747614
learnRankMFX|0.1|0.1|15|0.18663838812301167
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.11346765641569459
learnRankMFX|1|0.1|15|0.0816542948038176
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12301166489925769
learnRankMFX|0|0.01|15|0.21314952279957583
learnRankMFX|0|0.1|15|0.14528101802757157
learnRankMFX|0.001|0.001|15|0.1283138918345705
learnRankMFX|0.001|0.01|15|0.24390243902439024
learnRankMFX|0.001|0.1|15|0.13361611876988336
learnRankMFX|0.01|0.001|15|0.12407211028632026
learnRankMFX|0.01|0.01|15|0.23117709437963946
learnRankMFX|0.01|0.1|15|0.16542948038176034
learnRankMFX|0.1|0.001|15|0.11134676564156946
learnRankMFX|0.1|0.01|15|0.2492046659597031
learnRankMFX|0.1|0.1|15|0.18875927889713678
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.11134676564156946
learnRankMFX|1|0.1|15|0.0816542948038176
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12725344644750794
learnRankMFX|0|0.01|15|0.22481442205726404
learnRankMFX|0|0.1|15|0.14634146341463414
learnRankMFX|0.001|0.001|15|0.11770943796394485
learnRankMFX|0.001|0.01|15|0.2258748674443266
learnRankMFX|0.001|0.1|15|0.14634146341463414
learnRankMFX|0.01|0.001|15|0.12407211028632026
learnRankMFX|0.01|0.01|15|0.25026511134676566
learnRankMFX|0.01|0.1|15|0.1792152704135737
learnRankMFX|0.1|0.001|15|0.11134676564156946
learnRankMFX|0.1|0.01|15|0.2417815482502651
learnRankMFX|0.1|0.1|15|0.18769883351007424
learnRankMFX|1|0.001|15|0.0
learnRankMFX|1|0.01|15|0.11134676564156946
learnRankMFX|1|0.1|15|0.09437963944856839
Algorithm|Regconstant|Learningrate|Epochs|Hitrate
learnRankMFX|0|0.001|15|0.12089077412513255
learnRankMFX|0|0.01|15|0.22693531283138918
